id,path,md5,species,bcs,confidence,reasoning
41728,datasets/cat_10k/images/031f07054566f90458f649ed4c0acda8.jpg,031f07054566f90458f649ed4c0acda8,cat,1,9,"The image displays severe emaciation consistent with a BCS of 1/9. The vertebral column forms a sharp, highly prominent ridge along the back, indicating a complete lack of subcutaneous fat and significant muscle wasting. The pelvic bones (wings of the ilia) are sharply angular and protrude noticeably at the hindquarters. There is an extreme, pinched waistline visible behind the rib cage, and the flanks are deeply hollowed out. From the visible side profile, there is a severe abdominal tuck, with the ventral line sweeping sharply upward immediately after the thorax. The limbs, particularly the hind legs, appear skeletal with an obvious loss of muscle mass. Overall, the complete absence of fat covering and severe skeletal prominence strongly support the 1/9 score."
25164,datasets/cat_10k/images/038ba68d2ad876591a68c61150d75b7c.jpg,038ba68d2ad876591a68c61150d75b7c,cat,1,8,"The cat appears emaciated with a highly prominent spine and pelvic bones clearly visible. The limbs are very thin, suggesting severe muscle wasting, and there is an overall angular appearance indicating a complete lack of fat covering."
41737,datasets/cat_10k/images/060968aacd17b7f99d38c68bc43e0d3f.jpg,060968aacd17b7f99d38c68bc43e0d3f,cat,1,9,"The image displays a cat with an extremely thin, emaciated appearance consistent with a BCS of 1/9. The most striking feature is the severe, deep hollowing of the flank and an extreme abdominal tuck, indicating a complete lack of abdominal fat. The pelvic bones (hips) are sharply angular and prominent, protruding noticeably at the hindquarters without any fat covering. While the coat pattern slightly obscures the individual ribs, the overall thoracic area appears narrow, and the skin looks tightly drawn over the skeletal frame, suggesting ribs would be easily visible and palpable with zero fat cover. The limbs, particularly the hind legs, appear very thin, indicating severe muscle wasting. The spine forms a rigid, prominent line along the back. Overall, the cat exhibits a skeletal appearance with no discernible fat deposits anywhere on the body."
41731,datasets/cat_10k/images/07d70b0003f30e50d025e75b4b3da1e6.jpg,07d70b0003f30e50d025e75b4b3da1e6,cat,1,8,"Viewed from this posterolateral angle, the subject exhibits severe skeletal prominence consistent with an emaciated state (BCS 1/9). The pelvic bones are sharply angular and protrude significantly, indicating a complete lack of subcutaneous fat cover. The vertebral column forms a highly distinct, sharp ridge along the back, which points to severe wasting of the epaxial muscles. There is an extreme, pinched waistline visible just behind the ribcage, demonstrating a severe abdominal tuck. Additionally, the hind limbs appear exceptionally thin with no discernible fat deposits, reflecting the severe generalized muscle wasting characteristic of a BCS 1 assessment."
209,datasets/cat_10k/images/07d7e02177f97b7c8c787b57f9615aa9.jpg,07d7e02177f97b7c8c787b57f9615aa9,cat,1,9,"Severe muscle wasting is evident on the limbs. The spine and pelvic bones are sharply protruding and easily visible, indicating an emaciated state with no apparent fat reserves."
25189,datasets/cat_10k/images/0f8c1c3dd4ed1a6af6296f5d1168f166.jpg,0f8c1c3dd4ed1a6af6296f5d1168f166,cat,1,8,"The cat exhibits extreme thinness with highly prominent spine and pelvic bones that are easily visible. There is a severe abdominal tuck and the limbs appear very thin, indicating significant muscle wasting and a complete lack of fat covering."
41729,datasets/cat_10k/images/111ed10717803dcbbe84af60cfd5645c.jpg,111ed10717803dcbbe84af60cfd5645c,cat,1,9,"The visual evidence strongly supports a BCS of 1 (Emaciated). The most prominent feature is the sharply protruding and highly angular pelvic bones, indicating a complete lack of fat covering and severe muscle wasting in the hindquarters. The spine is clearly visible as a sharp ridge running along the back. The limbs, particularly the hind legs, appear very thin and lack normal muscle mass. The overall body shape is skeletal, with an extremely narrow waist visible from this angle, consistent with severe emaciation."
25095,datasets/cat_10k/images/11b0477d56fb1897e4072718af23222c.jpg,11b0477d56fb1897e4072718af23222c,cat,1,9,"Severe emaciation with spine, pelvic bones, and ribs sharply protruding and easily visible. Extreme muscle wasting is evident on the limbs, shoulders, and back. No visible body fat."
25133,datasets/cat_10k/images/176ecdf3656bfedcd18ea89f13a06058.jpg,176ecdf3656bfedcd18ea89f13a06058,cat,1,8,"Severe muscle wasting is evident, particularly over the hindquarters and back. The spine, ribs, and pelvic bones are highly prominent and easily visible. There appears to be a complete lack of fat covering."
223,datasets/cat_10k/images/1c5a8fd38a9502d308a38faf6b61e42b.jpg,1c5a8fd38a9502d308a38faf6b61e42b,cat,1,8,"Severe muscle wasting is evident, particularly along the back and limbs. The spine and shoulder blades are highly prominent and easily visible. Ribs are visible despite the fur. The cat has an overall emaciated appearance with no visible fat covering."
