filename,bcs,reasoning,original_label
06a4e6bdf5de8457ed87da97e14183b2.jpg,1,"Ribs, lumbar vertebrae, and pelvic bones are all clearly visible from a distance with no discernible body fat and obvious loss of muscle mass.",underweight_dogs
ba731575340101a7c291684a8bbeae9f.jpg,1,"The dog's ribs, lumbar vertebrae, and pelvic bones are clearly visible from a distance, and there is an obvious loss of muscle mass, particularly in the hindquarters.",underweight_dogs
2f9f5c6596596c637520783b7277ee66.jpg,2,"The dog's ribs and pelvic bones are clearly visible from a distance, with a prominent abdominal tuck and minimal fat cover, indicative of a very thin body condition.",underweight_dogs
4fee972abfb3a1e9d0fe59832564fe64.jpg,1,"The ribs, lumbar vertebrae, and pelvic bones are all extremely prominent from a distance. There is no discernible body fat and significant loss of muscle mass is evident.",underweight_dogs
fed0b33590976a95afeb0da9af490a30.jpg,1,"The dog is emaciated, with ribs, spine, and pelvic bones clearly visible from a distance. There is no discernible body fat and a severe loss of muscle mass is evident.",underweight_dogs
448e9374f10c6cfa9e021f4ead3f8aeb.jpg,3,"The dog shows a very pronounced abdominal tuck and a clear waistline. While ribs are not protruding sharply, their outlines are visible under the coat, consistent with an underweight condition.",underweight_dogs
2aaf1fafb5c675f36e2e0205006cfb2b.jpg,2,"Ribs, lumbar vertebrae, and pelvic bones are all clearly visible with no discernible body fat. There is a very prominent waist and a severe abdominal tuck, characteristic of a very thin dog.",underweight_dogs
b935c1e0e9804be7ead8f9cf144aa0b3.jpg,2,"The dog shows easily visible ribs, spine, and pelvic bones. There is a severe abdominal tuck and a very prominent waist, indicating a significant lack of body fat typical of a 'very thin' condition.",underweight_dogs
d8d7ead0d5596e9c510bff4134aaaff9.jpg,2,"Ribs, lumbar vertebrae, and pelvic bones are easily visible. There is a very deep abdominal tuck and a prominent waistline, indicating minimal body fat.",underweight_dogs
76791c80ba341c487bff06a86de21bc2.jpg,1,"The dog is emaciated; ribs, lumbar vertebrae, and pelvic bones are all highly visible from a distance with no discernible body fat and evident muscle loss.",underweight_dogs
2b5199ffdea30a1c3a87d16d2de09d85.jpg,2,"Ribs, lumbar vertebrae, and pelvic bones are clearly visible from a distance. There is minimal body fat and a very deep abdominal tuck, typical for an underweight score.",underweight_dogs
e60eb98838b58ba1c9ddf4738febafd1.jpg,2,"Ribs and pelvic bones are clearly visible from a distance, with a very deep abdominal tuck and extreme waist, indicating minimal body fat.",underweight_dogs
2a093f332b2db0c7a8d9630fc305ad94.jpg,2,"Ribs, spine, and pelvic bones are all very prominent and visible from a distance. There is an extreme abdominal tuck and noticeable muscle wasting, particularly in the hindquarters.",underweight_dogs
9228c860b6a50b2b0fc90a452969cb56.jpg,1,"The dog is emaciated; ribs, lumbar vertebrae, and pelvic bones are easily visible from a distance, with an obvious loss of muscle mass.",underweight_dogs
154c5b8f4644685fb68bc955cb45bb7c.jpg,2,"The ribs, lumbar vertebrae, and pelvic bones are easily visible from a distance. There is a very pronounced abdominal tuck and a severe waistline.",underweight_dogs
7825cb618eb5a65e50aaf4ef484f030a.jpg,1,"Ribs, lumbar vertebrae, and pelvic bones are prominent and clearly visible from a distance. There is no discernible body fat and an obvious loss of muscle mass with a severe abdominal tuck.",underweight_dogs
cfff3fc9dc382f752a3c13c47e57c39f.jpg,2,"The dog's ribs, lumbar vertebrae, and pelvic bones are clearly visible even while lying down. There is an obvious lack of body fat and visible bony prominences, indicating an emaciated state.",underweight_dogs
a50645dd00aaa6b8dc36b6953c1a4c5a.jpg,1,"The dog is emaciated, with ribs, spine, and pelvic bones extremely prominent from a distance. There is a complete absence of discernible body fat and clear evidence of muscle wasting.",underweight_dogs
594079be8eb4c86e25872efb15ad9612.jpg,2,"Ribs, lumbar vertebrae, and pelvic bones are easily visible. There is an extreme abdominal tuck and noticeable loss of muscle mass.",underweight_dogs
9bc922e45c9e9df665245054ac4fdcd2.jpg,2,"Ribs are clearly visible through the coat. There is a very deep waist and a severe abdominal tuck. Pelvic bones and lumbar vertebrae are also starting to become prominent, indicating minimal body fat.",underweight_dogs
90294b1b46d32b54a5638e3d6208d882.jpg,2,"Ribs, lumbar vertebrae, and pelvic bones are clearly visible. There is a very prominent abdominal tuck and an extreme waistline curve behind the ribs, indicating minimal body fat.",underweight_dogs
3051647b614f3a532e19ad0c26db4317.jpg,2,"The ribs, lumbar vertebrae, and pelvic bones are easily visible from a distance. There is a prominent abdominal tuck and a very clear waist, indicating minimal body fat.",underweight_dogs
a68acb77359f318e1d3d50deaf6c0eac.jpg,2,"The dog's ribs, lumbar vertebrae, and pelvic bones are all clearly visible with very little fat cover, and there is a severe abdominal tuck and pronounced waist.",underweight_dogs
20231d10c0b1390177c2adaf9e7f3010.jpg,1,"Ribs, lumbar vertebrae, and pelvic bones are all easily visible from a distance. There is no discernible body fat and a clear loss of muscle mass.",underweight_dogs
11a12180d17717fd9605142a08da5c84.jpg,4,"The dog has a visible waist tuck and the ribs are palpable with minimal fat covering. The overall appearance suggests a healthy, lean body condition, fitting a BCS of 4 (lean/slightly thin) on the 9-point scale.",underweight_dogs
609a7e05e699807b78a934bdfecefbba.jpg,2,"The dog exhibits severe emaciation. Ribs, spine, and pelvic bones are easily visible and prominent, with minimal palpable fat cover. This indicates a body condition score of 2 out of 9, which is severely underweight.",underweight_dogs
